,,,,,,,,,
,,,,,,,,,
,Tabla N°:,2.2 ,,,,,,,
,Nombre de la tabla:,"Población en viviendas particulares por condición de pobreza por NBI y sexo al nacer, según provincia, cantón, parroquia y autoidentificación étnica",,,,,,,
,Fuente:,VIII Censo de Población y VII de Vivienda ,,,,,,,
,Elaboración:,Instituto Nacional de Estadística y Censos (INEC) - Componente de Metodología y Análisis – CPV 2022 ,,,,,,,
,,,,,,,,,
,,,,,,,,,
Índice,"Provincia, cantón, parroquia de residencia y autoidentificación según cultura y costumbres",,,,Número total de personas en viviendas particulares,Condición de Pobreza por Necesidades Básicas Insatisfechas NBI,,,
,,,,,,No pobres,,Pobres,
,,,,,,Sexo al nacer,,Sexo al nacer,
,,,,,,Hombres,Mujeres,Hombres,Mujeres
,,,,,,,,,
,Azuay,Girón,La Asunción,Afroecuatoriana/o,12,4,8,,
,Azuay,Girón,La Asunción,Montubia/o,11,5,3,2,1
,Azuay,Girón,La Asunción,Mestiza/o,"2,543",875,978,310,380
,Azuay,Girón,La Asunción,Blanca/o,101,41,43,10,7
,Azuay,Girón,La Asunción,Otro,,,,,
,Azuay,Girón,San Gerardo,Total San Gerardo,"1,058",318,398,145,197
,Azuay,Girón,San Gerardo,Indígena,,,,,
,Azuay,Girón,San Gerardo,Afroecuatoriana/o,,,,,
,Azuay,Girón,San Gerardo,Montubia/o,3,2,,1,
,Azuay,Girón,San Gerardo,Mestiza/o,"1,054",315,398,144,197
,Azuay,Girón,San Gerardo,Blanca/o,1,1,,,
,Azuay,Girón,San Gerardo,Otro,,,,,
,Azuay,Gualaceo,Total Gualaceo,Total Gualaceo,"43,168","11,282","13,505","8,129","10,252"
,Azuay,Gualaceo,Total Gualaceo,Indígena,611,105,143,164,199
,Azuay,Gualaceo,Total Gualaceo,Afroecuatoriana/o,248,80,96,26,46
,Azuay,Gualaceo,Total Gualaceo,Montubia/o,130,43,30,23,34
,Azuay,Gualaceo,Total Gualaceo,Mestiza/o,"41,592","10,894","13,024","7,815","9,859"
,Azuay,Gualaceo,Total Gualaceo,Blanca/o,585,159,211,101,114
,Azuay,Gualaceo,Total Gualaceo,Otro,2,1,1,,
,Azuay,Gualaceo,Gualaceo,Total Gualaceo,"22,004","7,655","9,043","2,396","2,910"
,Azuay,Gualaceo,Gualaceo,Indígena,342,67,78,91,106
,Azuay,Gualaceo,Gualaceo,Afroecuatoriana/o,144,53,61,13,17
,Azuay,Gualaceo,Gualaceo,Montubia/o,78,29,23,11,15
,Azuay,Gualaceo,Gualaceo,Mestiza/o,"21,100","7,389","8,726","2,249","2,736"
,Azuay,Gualaceo,Gualaceo,Blanca/o,339,117,154,32,36
,Azuay,Gualaceo,Gualaceo,Otro,1,,1,,
,Azuay,Gualaceo,Daniel Córdova Toral,Total Daniel Córdova Toral,"1,552",261,339,425,527
,Azuay,Gualaceo,Daniel Córdova Toral,Indígena,10,2,8,,
,Azuay,Gualaceo,Daniel Córdova Toral,Afroecuatoriana/o,67,16,26,8,17
,Azuay,Gualaceo,Daniel Córdova Toral,Montubia/o,3,,,2,1
,Azuay,Gualaceo,Daniel Córdova Toral,Mestiza/o,"1,461",242,305,409,505
,Azuay,Gualaceo,Daniel Córdova Toral,Blanca/o,11,1,,6,4
,Azuay,Gualaceo,Daniel Córdova Toral,Otro,,,,,
,Azuay,Gualaceo,Jadán,Total Jadán,"4,580",770,962,"1,280","1,568"
,Azuay,Gualaceo,Jadán,Indígena,192,25,46,53,68
,Azuay,Gualaceo,Jadán,Afroecuatoriana/o,5,,1,1,3
,Azuay,Gualaceo,Jadán,Montubia/o,13,3,1,3,6
,Azuay,Gualaceo,Jadán,Mestiza/o,"4,297",729,899,"1,201","1,468"
,Azuay,Gualaceo,Jadán,Blanca/o,73,13,15,22,23
,Azuay,Gualaceo,Jadán,Otro,,,,,
,Azuay,Gualaceo,Mariano Moreno,Total Mariano Moreno,"2,511",336,384,794,997
,Azuay,Gualaceo,Mariano Moreno,Indígena,,,,,
,Azuay,Gualaceo,Mariano Moreno,Afroecuatoriana/o,10,3,5,,2
,Azuay,Gualaceo,Mariano Moreno,Montubia/o,14,3,1,2,8
,Azuay,Gualaceo,Mariano Moreno,Mestiza/o,"2,482",330,378,788,986
,Azuay,Gualaceo,Mariano Moreno,Blanca/o,5,,,4,1
,Azuay,Gualaceo,Mariano Moreno,Otro,,,,,
,Azuay,Gualaceo,Remigio Crespo Toral,Total Remigio Crespo Toral,"1,380",347,457,246,330
,Azuay,Gualaceo,Remigio Crespo Toral,Indígena,4,2,2,,
,Azuay,Gualaceo,Remigio Crespo Toral,Afroecuatoriana/o,3,2,1,,
,Azuay,Gualaceo,Remigio Crespo Toral,Montubia/o,2,,1,1,
,Azuay,Gualaceo,Remigio Crespo Toral,Mestiza/o,"1,343",337,445,240,321
,Azuay,Gualaceo,Remigio Crespo Toral,Blanca/o,28,6,8,5,9
,Azuay,Gualaceo,Remigio Crespo Toral,Otro,,,,,
,Azuay,Gualaceo,San Juan,Total San Juan,"4,696",628,779,"1,379","1,910"
,Azuay,Gualaceo,San Juan,Indígena,36,5,3,12,16
,Azuay,Gualaceo,San Juan,Afroecuatoriana/o,,,,,
,Azuay,Gualaceo,San Juan,Montubia/o,8,4,1,1,2
,Azuay,Gualaceo,San Juan,Mestiza/o,"4,627",613,766,"1,360","1,888"
,Azuay,Gualaceo,San Juan,Blanca/o,25,6,9,6,4
,Azuay,Gualaceo,San Juan,Otro,,,,,
,Azuay,Gualaceo,Zhidmad,Total Zhidmad,"3,045",473,621,874,"1,077"
,Azuay,Gualaceo,Zhidmad,Indígena,15,3,4,3,5
,Azuay,Gualaceo,Zhidmad,Afroecuatoriana/o,15,4,2,2,7
,Azuay,Gualaceo,Zhidmad,Montubia/o,7,2,1,3,1
,Azuay,Gualaceo,Zhidmad,Mestiza/o,"2,986",459,606,862,"1,059"
,Azuay,Gualaceo,Zhidmad,Blanca/o,22,5,8,4,5
,Azuay,Gualaceo,Zhidmad,Otro,,,,,
,Azuay,Gualaceo,Luis Cordero Vega,Total Luis Cordero Vega,"2,668",664,719,571,714
,Azuay,Gualaceo,Luis Cordero Vega,Indígena,12,1,2,5,4
,Azuay,Gualaceo,Luis Cordero Vega,Afroecuatoriana/o,4,2,,2,
,Azuay,Gualaceo,Luis Cordero Vega,Montubia/o,5,2,2,,1
,Azuay,Gualaceo,Luis Cordero Vega,Mestiza/o,"2,603",653,704,553,693
,Azuay,Gualaceo,Luis Cordero Vega,Blanca/o,44,6,11,11,16
,Azuay,Gualaceo,Luis Cordero Vega,Otro,,,,,
,Azuay,Gualaceo,Simón Bolívar,Total Simón Bolívar,732,148,201,164,219
,Azuay,Gualaceo,Simón Bolívar,Indígena,,,,,
,Azuay,Gualaceo,Simón Bolívar,Afroecuatoriana/o,,,,,
,Azuay,Gualaceo,Simón Bolívar,Montubia/o,,,,,
,Azuay,Gualaceo,Simón Bolívar,Mestiza/o,693,142,195,153,203
,Azuay,Gualaceo,Simón Bolívar,Blanca/o,38,5,6,11,16
,Azuay,Gualaceo,Simón Bolívar,Otro,1,1,,,
,Azuay,Nabón,Total Nabón,Total Nabón,"14,758","1,847","2,240","4,876","5,795"
,Azuay,Nabón,Total Nabón,Indígena,"5,633",358,435,"2,174","2,666"
,Azuay,Nabón,Total Nabón,Afroecuatoriana/o,12,1,1,3,7
,Azuay,Nabón,Total Nabón,Montubia/o,37,4,8,12,13
,Azuay,Nabón,Total Nabón,Mestiza/o,"9,042","1,478","1,788","2,675","3,101"
,Azuay,Nabón,Total Nabón,Blanca/o,34,6,8,12,8
,Azuay,Nabón,Total Nabón,Otro,,,,,
,Azuay,Nabón,Nabón,Total Nabón,"9,079","1,010","1,256","3,072","3,741"
,Azuay,Nabón,Nabón,Indígena,"5,601",358,432,"2,155","2,656"
,Azuay,Nabón,Nabón,Afroecuatoriana/o,9,1,1,2,5
,Azuay,Nabón,Nabón,Montubia/o,17,1,5,4,7
,Azuay,Nabón,Nabón,Mestiza/o,"3,440",647,813,909,"1,071"
,Azuay,Nabón,Nabón,Blanca/o,12,3,5,2,2
,Azuay,Nabón,Nabón,Otro,,,,,
,Azuay,Nabón,Cochapata,Total Cochapata,"2,981",352,468,"1,000","1,161"
,Azuay,Nabón,Cochapata,Indígena,5,,2,1,2
,Azuay,Nabón,Cochapata,Afroecuatoriana/o,3,,,1,2
,Azuay,Nabón,Cochapata,Montubia/o,4,1,1,1,1
,Azuay,Nabón,Cochapata,Mestiza/o,"2,964",351,465,994,"1,154"
,Azuay,Nabón,Cochapata,Blanca/o,5,,,3,2
,Azuay,Nabón,Cochapata,Otro,,,,,
,Azuay,Nabón,El Progreso,Total El Progreso,"1,388",199,198,474,517
,Azuay,Nabón,El Progreso,Indígena,,,,,
,Azuay,Nabón,El Progreso,Afroecuatoriana/o,,,,,
,Azuay,Nabón,El Progreso,Montubia/o,4,2,1,1,
,Azuay,Nabón,El Progreso,Mestiza/o,"1,375",196,195,470,514
,Azuay,Nabón,El Progreso,Blanca/o,9,1,2,3,3
,Azuay,Nabón,El Progreso,Otro,,,,,
,Azuay,Nabón,Las Nieves,Total Las Nieves,"1,310",286,318,330,376
,Azuay,Nabón,Las Nieves,Indígena,27,,1,18,8
,Azuay,Nabón,Las Nieves,Afroecuatoriana/o,,,,,
,Azuay,Nabón,Las Nieves,Montubia/o,12,,1,6,5
,Azuay,Nabón,Las Nieves,Mestiza/o,"1,263",284,315,302,362
,Azuay,Nabón,Las Nieves,Blanca/o,8,2,1,4,1
