,,,,,,,,,,,
,,,,,,,,,,,
,Tabla N°:,1.2 ,,,,,,,,,
,Nombre de la tabla:,"Población en viviendas particulares por condición de pobreza por NBI y sexo al nacer, según provincia, cantón, parroquia y área de residencia",,,,,,,,,
,Fuente:,VIII Censo de Población y VII de Vivienda ,,,,,,,,,
,Elaboración:,Instituto Nacional de Estadística y Censos (INEC) - Componente de Metodología y Análisis – CPV 2022 ,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Índice,"Provincia, cantón, parroquia y área de residencia",,,Número total de personas en viviendas particulares,Número total de personas en viviendas particulares,Condición de Pobreza por Necesidades Básicas Insatisfechas NBI,,,,,
,,,,,,No pobres,,"Total
No pobres",Pobres,,"Total
Pobres"
,,,,,,Sexo al nacer,,,Sexo al nacer,,
,,,,,,Hombres,Mujeres,,Hombres,Mujeres,
,,,,,,,,,,,
,Azuay,Paute,El Cabo,Rural,"3,361","1,071","1,288","2,359",434,568,"1,002"
,Azuay,Paute,Guarainag,Total Guarainag,701,189,200,389,139,173,312
,Azuay,Paute,Guarainag,Rural,701,189,200,389,139,173,312
,Azuay,Paute,San Cristóbal,Total San Cristóbal,"2,805",612,706,"1,318",672,815,"1,487"
,Azuay,Paute,San Cristóbal,Rural,"2,805",612,706,"1,318",672,815,"1,487"
,Azuay,Paute,Tomebamba,Total Tomebamba,"1,315",341,369,710,248,357,605
,Azuay,Paute,Tomebamba,Rural,"1,315",341,369,710,248,357,605
,Azuay,Paute,Dug Dug,Total Dug Dug,"1,779",381,489,870,391,518,909
,Azuay,Paute,Dug Dug,Rural,"1,779",381,489,870,391,518,909
,Azuay,Pucará,Total Pucará,Total Pucará,"9,668","1,592","1,839","3,431","3,001","3,236","6,237"
,Azuay,Pucará,Total Pucará,Urbana,855,291,317,608,125,122,247
,Azuay,Pucará,Total Pucará,Rural,"8,813","1,301","1,522","2,823","2,876","3,114","5,990"
,Azuay,Pucará,Pucará,Total Pucará,"7,976","1,257","1,420","2,677","2,571","2,728","5,299"
,Azuay,Pucará,Pucará,Urbana,855,291,317,608,125,122,247
,Azuay,Pucará,Pucará,Rural,"7,121",966,"1,103","2,069","2,446","2,606","5,052"
,Azuay,Pucará,San Rafael de Sharug,Total San Rafael de Sharug,"1,692",335,419,754,430,508,938
,Azuay,Pucará,San Rafael de Sharug,Rural,"1,692",335,419,754,430,508,938
,Azuay,San Fernando,Total San Fernando,Total San Fernando,"3,738","1,155","1,412","2,567",501,670,"1,171"
,Azuay,San Fernando,Total San Fernando,Urbana,"1,407",544,621,"1,165",93,149,242
,Azuay,San Fernando,Total San Fernando,Rural,"2,331",611,791,"1,402",408,521,929
,Azuay,San Fernando,San Fernando,Total San Fernando,"2,985",867,"1,069","1,936",457,592,"1,049"
,Azuay,San Fernando,San Fernando,Urbana,"1,407",544,621,"1,165",93,149,242
,Azuay,San Fernando,San Fernando,Rural,"1,578",323,448,771,364,443,807
,Azuay,San Fernando,Chumblín,Total Chumblín,753,288,343,631,44,78,122
,Azuay,San Fernando,Chumblín,Rural,753,288,343,631,44,78,122
,Azuay,Santa Isabel,Total Santa Isabel,Total Santa Isabel,"20,713","6,197","6,760","12,957","3,693","4,063","7,756"
,Azuay,Santa Isabel,Total Santa Isabel,Urbana,"6,190","2,539","2,798","5,337",405,448,853
,Azuay,Santa Isabel,Total Santa Isabel,Rural,"14,523","3,658","3,962","7,620","3,288","3,615","6,903"
,Azuay,Santa Isabel,Santa Isabel,Total Santa Isabel,"10,406","3,764","4,127","7,891","1,165","1,350","2,515"
,Azuay,Santa Isabel,Santa Isabel,Urbana,"6,190","2,539","2,798","5,337",405,448,853
,Azuay,Santa Isabel,Santa Isabel,Rural,"4,216","1,225","1,329","2,554",760,902,"1,662"
,Azuay,Santa Isabel,Abdón Calderón,Total Abdón Calderón,"4,194","1,497","1,652","3,149",498,547,"1,045"
,Azuay,Santa Isabel,Abdón Calderón,Rural,"4,194","1,497","1,652","3,149",498,547,"1,045"
,Azuay,Santa Isabel,El Carmen de Pijilí,Total El Carmen de Pijilí,"2,646",474,440,914,853,879,"1,732"
,Azuay,Santa Isabel,El Carmen de Pijilí,Rural,"2,646",474,440,914,853,879,"1,732"
,Azuay,Santa Isabel,Shaglli,Total Shaglli,"1,849",173,199,372,709,768,"1,477"
,Azuay,Santa Isabel,Shaglli,Rural,"1,849",173,199,372,709,768,"1,477"
,Azuay,Santa Isabel,San Salvador de Cañaribamba,Total San Salvador de Cañaribamba,"1,618",289,342,631,468,519,987
,Azuay,Santa Isabel,San Salvador de Cañaribamba,Rural,"1,618",289,342,631,468,519,987
,Azuay,Sígsig,Total Sígsig,Total Sígsig,"24,989","5,327","6,573","11,900","5,686","7,403","13,089"
,Azuay,Sígsig,Total Sígsig,Urbana,"4,029","1,623","1,897","3,520",228,281,509
,Azuay,Sígsig,Total Sígsig,Rural,"20,960","3,704","4,676","8,380","5,458","7,122","12,580"
,Azuay,Sígsig,Sígsig,Total Sígsig,"10,655","2,858","3,512","6,370","1,846","2,439","4,285"
,Azuay,Sígsig,Sígsig,Urbana,"4,029","1,623","1,897","3,520",228,281,509
,Azuay,Sígsig,Sígsig,Rural,"6,626","1,235","1,615","2,850","1,618","2,158","3,776"
,Azuay,Sígsig,Cuchil,Total Cuchil,"1,638",406,568,974,291,373,664
,Azuay,Sígsig,Cuchil,Rural,"1,638",406,568,974,291,373,664
,Azuay,Sígsig,Jima,Total Jima,"2,778",596,705,"1,301",623,854,"1,477"
,Azuay,Sígsig,Jima,Rural,"2,778",596,705,"1,301",623,854,"1,477"
,Azuay,Sígsig,Güel,Total Güel,"1,058",171,215,386,280,392,672
,Azuay,Sígsig,Güel,Rural,"1,058",171,215,386,280,392,672
,Azuay,Sígsig,Ludo,Total Ludo,"3,428",382,443,825,"1,167","1,436","2,603"
,Azuay,Sígsig,Ludo,Rural,"3,428",382,443,825,"1,167","1,436","2,603"
,Azuay,Sígsig,San Bartolomé,Total San Bartolomé,"3,367",599,718,"1,317",907,"1,143","2,050"
,Azuay,Sígsig,San Bartolomé,Rural,"3,367",599,718,"1,317",907,"1,143","2,050"
,Azuay,Sígsig,San José de Raranga,Total San José de Raranga,"2,065",315,412,727,572,766,"1,338"
,Azuay,Sígsig,San José de Raranga,Rural,"2,065",315,412,727,572,766,"1,338"
,Azuay,Oña,Total Oña,Total Oña,"3,419",707,782,"1,489",868,"1,062","1,930"
,Azuay,Oña,Total Oña,Urbana,986,314,336,650,142,194,336
,Azuay,Oña,Total Oña,Rural,"2,433",393,446,839,726,868,"1,594"
,Azuay,Oña,San Felipe de Oña,Total San Felipe de Oña,"2,453",475,492,967,663,823,"1,486"
,Azuay,Oña,San Felipe de Oña,Urbana,986,314,336,650,142,194,336
,Azuay,Oña,San Felipe de Oña,Rural,"1,467",161,156,317,521,629,"1,150"
,Azuay,Oña,Susudel,Total Susudel,966,232,290,522,205,239,444
,Azuay,Oña,Susudel,Rural,966,232,290,522,205,239,444
,Azuay,Chordeleg,Total Chordeleg,Total Chordeleg,"12,104","3,721","4,387","8,108","1,733","2,263","3,996"
,Azuay,Chordeleg,Total Chordeleg,Urbana,"4,362","1,717","1,922","3,639",329,394,723
,Azuay,Chordeleg,Total Chordeleg,Rural,"7,742","2,004","2,465","4,469","1,404","1,869","3,273"
,Azuay,Chordeleg,Chordeleg,Total Chordeleg,"6,814","2,434","2,757","5,191",715,908,"1,623"
,Azuay,Chordeleg,Chordeleg,Urbana,"4,362","1,717","1,922","3,639",329,394,723
,Azuay,Chordeleg,Chordeleg,Rural,"2,452",717,835,"1,552",386,514,900
,Azuay,Chordeleg,Principal,Total Principal,"1,158",318,415,733,181,244,425
,Azuay,Chordeleg,Principal,Rural,"1,158",318,415,733,181,244,425
,Azuay,Chordeleg,La Unión,Total La Unión,"1,875",415,513,928,411,536,947
,Azuay,Chordeleg,La Unión,Rural,"1,875",415,513,928,411,536,947
,Azuay,Chordeleg,Luis Galarza Orellana,Total Luis Galarza Orellana,"1,237",309,377,686,232,319,551
,Azuay,Chordeleg,Luis Galarza Orellana,Rural,"1,237",309,377,686,232,319,551
,Azuay,Chordeleg,San Martín de Puzhio,Total San Martín de Puzhio,"1,020",245,325,570,194,256,450
,Azuay,Chordeleg,San Martín de Puzhio,Rural,"1,020",245,325,570,194,256,450
,Azuay,El Pan,Total El Pan,Total El Pan,"2,776",946,"1,119","2,065",334,377,711
,Azuay,El Pan,Total El Pan,Urbana,503,198,250,448,27,28,55
,Azuay,El Pan,Total El Pan,Rural,"2,273",748,869,"1,617",307,349,656
,Azuay,El Pan,El Pan,Total El Pan,"1,085",401,494,895,95,95,190
,Azuay,El Pan,El Pan,Urbana,503,198,250,448,27,28,55
,Azuay,El Pan,El Pan,Rural,582,203,244,447,68,67,135
,Azuay,El Pan,San Vicente,Total San Vicente,"1,691",545,625,"1,170",239,282,521
,Azuay,El Pan,San Vicente,Rural,"1,691",545,625,"1,170",239,282,521
,Azuay,Sevilla de Oro,Total Sevilla de Oro,Total Sevilla de Oro,"4,608","1,576","1,799","3,375",587,646,"1,233"
,Azuay,Sevilla de Oro,Total Sevilla de Oro,Urbana,731,296,330,626,48,57,105
,Azuay,Sevilla de Oro,Total Sevilla de Oro,Rural,"3,877","1,280","1,469","2,749",539,589,"1,128"
,Azuay,Sevilla de Oro,Sevilla de Oro,Total Sevilla de Oro,"2,026",715,833,"1,548",227,251,478
,Azuay,Sevilla de Oro,Sevilla de Oro,Urbana,731,296,330,626,48,57,105
,Azuay,Sevilla de Oro,Sevilla de Oro,Rural,"1,295",419,503,922,179,194,373
,Azuay,Sevilla de Oro,Amaluza,Total Amaluza,892,213,278,491,193,208,401
,Azuay,Sevilla de Oro,Amaluza,Rural,892,213,278,491,193,208,401
,Azuay,Sevilla de Oro,Palmas,Total Palmas,"1,690",648,688,"1,336",167,187,354
,Azuay,Sevilla de Oro,Palmas,Rural,"1,690",648,688,"1,336",167,187,354
,Azuay,Guachapala,Total Guachapala,Total Guachapala,"3,582","1,188","1,250","2,438",523,621,"1,144"
,Azuay,Guachapala,Total Guachapala,Urbana,"1,206",466,527,993,87,126,213
,Azuay,Guachapala,Total Guachapala,Rural,"2,376",722,723,"1,445",436,495,931
,Azuay,Guachapala,Guachapala,Total Guachapala,"3,582","1,188","1,250","2,438",523,621,"1,144"
