,,,,,,,,,,,,,
,,,,,,,,,,,,,
,Tabla.N°:,1.2 ,,,,,,,,,,,
,Nombre de la tabla:,"Población por autoidentificación según cultura y costumbres, según provincia, cantón, parroquia de residencia y sexo al nacer ",,,,,,,,,,,
,Fuente:,VIII Censo de Población y VII de Vivienda ,,,,,,,,,,,
,Elaboración:,Instituto Nacional de Estadística y Censos (INEC) - Componente de Metodología y Análisis – CPV 2022 ,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Índice,"Provincia, cantón, parroquia de residencia y sexo al nacer",,,,Número total de personas ,Autoidentificación según cultura y costumbres,,,,,,,
,,,,,,Indigena,Afroecuatoriano/a o Afrodescendiente,Negra/o,Mulata/o,Montubia/o,Mestiza/o,Blanca/o,Otro
,,,,,,,,,,,,,
,Azuay,Sevilla de Oro,Amaluza,Mujeres,487,6,2,,1,3,475,,
,Azuay,Sevilla de Oro,Palmas,Total Palmas,"1,690",6,1,,3,4,"1,674",2,
,Azuay,Sevilla de Oro,Palmas,Hombres,815,3,1,,,1,809,1,
,Azuay,Sevilla de Oro,Palmas,Mujeres,875,3,,,3,3,865,1,
,Azuay,Guachapala,Total Guachapala,Total Guachapala,"3,586",48,4,4,1,6,"3,476",47,
,Azuay,Guachapala,Total Guachapala,Hombres,"1,714",22,2,2,,2,"1,664",22,
,Azuay,Guachapala,Total Guachapala,Mujeres,"1,872",26,2,2,1,4,"1,812",25,
,Azuay,Guachapala,Guachapala,Total Guachapala,"3,586",48,4,4,1,6,"3,476",47,
,Azuay,Guachapala,Guachapala,Hombres,"1,714",22,2,2,,2,"1,664",22,
,Azuay,Guachapala,Guachapala,Mujeres,"1,872",26,2,2,1,4,"1,812",25,
,Azuay,Camilo Ponce Enríquez,Total Camilo Ponce Enríquez,Total Camilo Ponce Enríquez,"22,810",281,306,197,339,265,"20,821",600,1
,Azuay,Camilo Ponce Enríquez,Total Camilo Ponce Enríquez,Hombres,"11,293",146,175,103,178,139,"10,238",314,
,Azuay,Camilo Ponce Enríquez,Total Camilo Ponce Enríquez,Mujeres,"11,517",135,131,94,161,126,"10,583",286,1
,Azuay,Camilo Ponce Enríquez,Camilo Ponce Enríquez,Total Camilo Ponce Enríquez,"22,810",281,306,197,339,265,"20,821",600,1
,Azuay,Camilo Ponce Enríquez,Camilo Ponce Enríquez,Hombres,"11,293",146,175,103,178,139,"10,238",314,
,Azuay,Camilo Ponce Enríquez,Camilo Ponce Enríquez,Mujeres,"11,517",135,131,94,161,126,"10,583",286,1
,Bolívar,Total Bolívar,Total Bolívar,Total Bolívar,"199,078","58,727",341,189,347,"1,633","136,547","1,278",16
,Bolívar,Total Bolívar,Total Bolívar,Hombres,"95,873","28,102",186,118,195,861,"65,761",639,11
,Bolívar,Total Bolívar,Total Bolívar,Mujeres,"103,205","30,625",155,71,152,772,"70,786",639,5
,Bolívar,Guaranda,Total Guaranda,Total Guaranda,"98,130","52,200",157,70,132,410,"44,625",523,13
,Bolívar,Guaranda,Total Guaranda,Hombres,"46,659","24,890",102,50,81,219,"21,042",266,9
,Bolívar,Guaranda,Total Guaranda,Mujeres,"51,471","27,310",55,20,51,191,"23,583",257,4
,Bolívar,Guaranda,Guaranda,Total Guaranda,"62,611","31,912",123,56,81,178,"29,879",369,13
,Bolívar,Guaranda,Guaranda,Hombres,"29,461","15,141",86,44,54,97,"13,849",181,9
,Bolívar,Guaranda,Guaranda,Mujeres,"33,150","16,771",37,12,27,81,"16,030",188,4
,Bolívar,Guaranda,Facundo Vela,Total Facundo Vela,"1,859","1,135",1,1,,47,667,8,
,Bolívar,Guaranda,Facundo Vela,Hombres,918,540,1,1,,24,346,6,
,Bolívar,Guaranda,Facundo Vela,Mujeres,941,595,,,,23,321,2,
,Bolívar,Guaranda,Julio E. Moreno,Total Julio E. Moreno,"2,527","1,942",5,,11,3,541,25,
,Bolívar,Guaranda,Julio E. Moreno,Hombres,"1,247",963,2,,6,1,261,14,
,Bolívar,Guaranda,Julio E. Moreno,Mujeres,"1,280",979,3,,5,2,280,11,
,Bolívar,Guaranda,Salinas,Total Salinas,"5,880","3,424",4,4,3,11,"2,429",5,
,Bolívar,Guaranda,Salinas,Hombres,"2,848","1,648",3,,3,7,"1,185",2,
,Bolívar,Guaranda,Salinas,Mujeres,"3,032","1,776",1,4,,4,"1,244",3,
,Bolívar,Guaranda,San Lorenzo,Total San Lorenzo,"1,770",114,4,1,1,2,"1,644",4,
,Bolívar,Guaranda,San Lorenzo,Hombres,851,48,1,1,,2,797,2,
,Bolívar,Guaranda,San Lorenzo,Mujeres,919,66,3,,1,,847,2,
,Bolívar,Guaranda,San Simón,Total San Simón,"4,288","2,997",4,,1,5,"1,263",18,
,Bolívar,Guaranda,San Simón,Hombres,"2,049","1,449",2,,1,4,584,9,
,Bolívar,Guaranda,San Simón,Mujeres,"2,239","1,548",2,,,1,679,9,
,Bolívar,Guaranda,Santa Fe,Total Santa Fe,"1,896",478,,,5,6,"1,398",9,
,Bolívar,Guaranda,Santa Fe,Hombres,872,229,,,1,1,635,6,
,Bolívar,Guaranda,Santa Fe,Mujeres,"1,024",249,,,4,5,763,3,
,Bolívar,Guaranda,Simiátug,Total Simiátug,"9,412","9,292",7,1,5,19,86,2,
,Bolívar,Guaranda,Simiátug,Hombres,"4,485","4,431",4,1,3,6,40,,
,Bolívar,Guaranda,Simiátug,Mujeres,"4,927","4,861",3,,2,13,46,2,
,Bolívar,Guaranda,San Luis de Pambil,Total San Luis de Pambil,"7,887",906,9,7,25,139,"6,718",83,
,Bolívar,Guaranda,San Luis de Pambil,Hombres,"3,928",441,3,3,13,77,"3,345",46,
,Bolívar,Guaranda,San Luis de Pambil,Mujeres,"3,959",465,6,4,12,62,"3,373",37,
,Bolívar,Chillanes,Total Chillanes,Total Chillanes,"19,802","1,002",28,10,31,211,"18,364",156,
,Bolívar,Chillanes,Total Chillanes,Hombres,"9,844",479,14,4,18,103,"9,147",79,
,Bolívar,Chillanes,Total Chillanes,Mujeres,"9,958",523,14,6,13,108,"9,217",77,
,Bolívar,Chillanes,Chillanes,Total Chillanes,"13,855",968,6,9,14,47,"12,688",123,
,Bolívar,Chillanes,Chillanes,Hombres,"6,833",466,3,4,8,21,"6,273",58,
,Bolívar,Chillanes,Chillanes,Mujeres,"7,022",502,3,5,6,26,"6,415",65,
,Bolívar,Chillanes,San José del Tambo,Total San José del Tambo,"5,947",34,22,1,17,164,"5,676",33,
,Bolívar,Chillanes,San José del Tambo,Hombres,"3,011",13,11,,10,82,"2,874",21,
,Bolívar,Chillanes,San José del Tambo,Mujeres,"2,936",21,11,1,7,82,"2,802",12,
,Bolívar,Chimbo,Total Chimbo,Total Chimbo,"15,524","1,311",15,4,26,91,"13,974",103,
,Bolívar,Chimbo,Total Chimbo,Hombres,"7,438",621,7,4,9,44,"6,700",53,
,Bolívar,Chimbo,Total Chimbo,Mujeres,"8,086",690,8,,17,47,"7,274",50,
,Bolívar,Chimbo,San José de Chimbo,Total San José de Chimbo,"6,020",184,13,4,18,17,"5,709",75,
,Bolívar,Chimbo,San José de Chimbo,Hombres,"2,816",87,6,4,6,5,"2,669",39,
,Bolívar,Chimbo,San José de Chimbo,Mujeres,"3,204",97,7,,12,12,"3,040",36,
,Bolívar,Chimbo,Asunción,Total Asunción,"2,745",854,,,,3,"1,881",7,
,Bolívar,Chimbo,Asunción,Hombres,"1,283",411,,,,1,867,4,
,Bolívar,Chimbo,Asunción,Mujeres,"1,462",443,,,,2,"1,014",3,
,Bolívar,Chimbo,La Magdalena,Total La Magdalena,"2,552",238,1,,,4,"2,301",8,
,Bolívar,Chimbo,La Magdalena,Hombres,"1,233",105,,,,2,"1,123",3,
,Bolívar,Chimbo,La Magdalena,Mujeres,"1,319",133,1,,,2,"1,178",5,
,Bolívar,Chimbo,San Sebastián,Total San Sebastián,"1,176",31,,,,2,"1,139",4,
,Bolívar,Chimbo,San Sebastián,Hombres,588,16,,,,,570,2,
,Bolívar,Chimbo,San Sebastián,Mujeres,588,15,,,,2,569,2,
,Bolívar,Chimbo,Telimbela,Total Telimbela,"3,031",4,1,,8,65,"2,944",9,
,Bolívar,Chimbo,Telimbela,Hombres,"1,518",2,1,,3,36,"1,471",5,
,Bolívar,Chimbo,Telimbela,Mujeres,"1,513",2,,,5,29,"1,473",4,
,Bolívar,Echeandía,Total Echeandía,Total Echeandía,"14,654","1,623",26,27,46,287,"12,448",197,
,Bolívar,Echeandía,Total Echeandía,Hombres,"7,197",806,14,15,19,161,"6,080",102,
,Bolívar,Echeandía,Total Echeandía,Mujeres,"7,457",817,12,12,27,126,"6,368",95,
,Bolívar,Echeandía,Echeandía,Total Echeandía,"14,654","1,623",26,27,46,287,"12,448",197,
,Bolívar,Echeandía,Echeandía,Hombres,"7,197",806,14,15,19,161,"6,080",102,
,Bolívar,Echeandía,Echeandía,Mujeres,"7,457",817,12,12,27,126,"6,368",95,
,Bolívar,San Miguel,Total San Miguel,Total San Miguel,"28,349","2,000",37,8,21,142,"25,992",147,2
,Bolívar,San Miguel,Total San Miguel,Hombres,"13,655","1,015",16,4,10,67,"12,472",70,1
,Bolívar,San Miguel,Total San Miguel,Mujeres,"14,694",985,21,4,11,75,"13,520",77,1
,Bolívar,San Miguel,San Miguel,Total San Miguel,"14,040",300,21,6,15,55,"13,543",98,2
,Bolívar,San Miguel,San Miguel,Hombres,"6,682",157,10,2,7,19,"6,439",47,1
,Bolívar,San Miguel,San Miguel,Mujeres,"7,358",143,11,4,8,36,"7,104",51,1
,Bolívar,San Miguel,Balsapamba,Total Balsapamba,"2,470",23,12,1,1,39,"2,379",15,
,Bolívar,San Miguel,Balsapamba,Hombres,"1,178",10,5,1,1,24,"1,132",5,
,Bolívar,San Miguel,Balsapamba,Mujeres,"1,292",13,7,,,15,"1,247",10,
,Bolívar,San Miguel,Bilován,Total Bilován,"2,966",197,2,1,3,27,"2,729",7,
,Bolívar,San Miguel,Bilován,Hombres,"1,432",109,,1,1,13,"1,305",3,
,Bolívar,San Miguel,Bilován,Mujeres,"1,534",88,2,,2,14,"1,424",4,
,Bolívar,San Miguel,Régulo de Mora,Total Régulo de Mora,"1,005",,,,,4,996,5,
,Bolívar,San Miguel,Régulo de Mora,Hombres,493,,,,,3,487,3,
,Bolívar,San Miguel,Régulo de Mora,Mujeres,512,,,,,1,509,2,
,Bolívar,San Miguel,San Pablo,Total San Pablo,"5,180",758,,,,16,"4,385",21,
,Bolívar,San Miguel,San Pablo,Hombres,"2,550",378,,,,7,"2,153",12,
,Bolívar,San Miguel,San Pablo,Mujeres,"2,630",380,,,,9,"2,232",9,
,Bolívar,San Miguel,Santiago,Total Santiago,"1,633",689,2,,2,,939,1,
,Bolívar,San Miguel,Santiago,Hombres,795,346,1,,1,,447,,
,Bolívar,San Miguel,Santiago,Mujeres,838,343,1,,1,,492,1,
,Bolívar,San Miguel,San Vicente,Total San Vicente,"1,055",33,,,,1,"1,021",,
,Bolívar,San Miguel,San Vicente,Hombres,525,15,,,,1,509,,
,Bolívar,San Miguel,San Vicente,Mujeres,530,18,,,,,512,,
,Bolívar,Caluma,Total Caluma,Total Caluma,"15,607",490,24,7,44,104,"14,837",100,1
,Bolívar,Caluma,Total Caluma,Hombres,"7,570",237,11,3,27,49,"7,201",41,1
,Bolívar,Caluma,Total Caluma,Mujeres,"8,037",253,13,4,17,55,"7,636",59,
,Bolívar,Caluma,Caluma,Total Caluma,"15,607",490,24,7,44,104,"14,837",100,1
,Bolívar,Caluma,Caluma,Hombres,"7,570",237,11,3,27,49,"7,201",41,1
,Bolívar,Caluma,Caluma,Mujeres,"8,037",253,13,4,17,55,"7,636",59,
,Bolívar,Las Naves,Total Las Naves,Total Las Naves,"7,012",101,54,63,47,388,"6,307",52,
,Bolívar,Las Naves,Total Las Naves,Hombres,"3,510",54,22,38,31,218,"3,119",28,
,Bolívar,Las Naves,Total Las Naves,Mujeres,"3,502",47,32,25,16,170,"3,188",24,
,Bolívar,Las Naves,Las Naves,Total Las Naves,"7,012",101,54,63,47,388,"6,307",52,
,Bolívar,Las Naves,Las Naves,Hombres,"3,510",54,22,38,31,218,"3,119",28,
,Bolívar,Las Naves,Las Naves,Mujeres,"3,502",47,32,25,16,170,"3,188",24,
,Cañar,Total Cañar,Total Cañar,Total Cañar,"227,578","33,472","1,196",438,600,"1,163","188,103","2,581",25
,Cañar,Total Cañar,Total Cañar,Hombres,"104,994","15,027",604,243,323,640,"86,911","1,231",15
,Cañar,Total Cañar,Total Cañar,Mujeres,"122,584","18,445",592,195,277,523,"101,192","1,350",10
,Cañar,Azogues,Total Azogues,Total Azogues,"74,515","1,621",184,71,149,280,"71,367",833,10
,Cañar,Azogues,Total Azogues,Hombres,"34,120",769,112,55,95,165,"32,533",384,7
,Cañar,Azogues,Total Azogues,Mujeres,"40,395",852,72,16,54,115,"38,834",449,3
,Cañar,Azogues,Azogues,Total Azogues,"41,249",590,145,63,93,173,"39,711",469,5
,Cañar,Azogues,Azogues,Hombres,"19,111",278,92,50,64,104,"18,302",216,5
,Cañar,Azogues,Azogues,Mujeres,"22,138",312,53,13,29,69,"21,409",253,
,Cañar,Azogues,Cojitambo,Total Cojitambo,"3,612",39,2,1,,8,"3,527",35,
,Cañar,Azogues,Cojitambo,Hombres,"1,593",15,,,,6,"1,555",17,
,Cañar,Azogues,Cojitambo,Mujeres,"2,019",24,2,1,,2,"1,972",18,
,Cañar,Azogues,Guapán,Total Guapán,"8,921",47,2,2,15,34,"8,739",82,
,Cañar,Azogues,Guapán,Hombres,"3,972",25,1,1,9,20,"3,882",34,
,Cañar,Azogues,Guapán,Mujeres,"4,949",22,1,1,6,14,"4,857",48,
,Cañar,Azogues,Javier Loyola,Total Javier Loyola,"8,591",85,24,1,25,28,"8,308",117,3
,Cañar,Azogues,Javier Loyola,Hombres,"3,984",42,12,1,15,13,"3,843",57,1
,Cañar,Azogues,Javier Loyola,Mujeres,"4,607",43,12,,10,15,"4,465",60,2
,Cañar,Azogues,Luis Cordero,Total Luis Cordero,"3,931",44,,,8,15,"3,817",47,
,Cañar,Azogues,Luis Cordero,Hombres,"1,776",25,,,4,10,"1,711",26,
,Cañar,Azogues,Luis Cordero,Mujeres,"2,155",19,,,4,5,"2,106",21,
,Cañar,Azogues,Pindilig,Total Pindilig,"1,837",140,,,,1,"1,694",2,
,Cañar,Azogues,Pindilig,Hombres,776,60,,,,,714,2,
,Cañar,Azogues,Pindilig,Mujeres,"1,061",80,,,,1,980,,
,Cañar,Azogues,Rivera,Total Rivera,"1,568",567,3,,,2,949,47,
,Cañar,Azogues,Rivera,Hombres,713,269,2,,,,426,16,
,Cañar,Azogues,Rivera,Mujeres,855,298,1,,,2,523,31,
,Cañar,Azogues,San Miguel,Total San Miguel,"3,615",9,8,4,8,15,"3,538",31,2
,Cañar,Azogues,San Miguel,Hombres,"1,651",4,5,3,3,9,"1,611",15,1
,Cañar,Azogues,San Miguel,Mujeres,"1,964",5,3,1,5,6,"1,927",16,1
,Cañar,Azogues,Taday,Total Taday,"1,191",100,,,,4,"1,084",3,
,Cañar,Azogues,Taday,Hombres,544,51,,,,3,489,1,
,Cañar,Azogues,Taday,Mujeres,647,49,,,,1,595,2,
,Cañar,Biblián,Total Biblián,Total Biblián,"18,852",695,21,5,31,47,"17,864",188,1
,Cañar,Biblián,Total Biblián,Hombres,"8,286",313,10,4,20,21,"7,836",82,
,Cañar,Biblián,Total Biblián,Mujeres,"10,566",382,11,1,11,26,"10,028",106,1
,Cañar,Biblián,Biblián,Total Biblián,"12,379",460,17,4,16,35,"11,728",118,1
,Cañar,Biblián,Biblián,Hombres,"5,442",201,7,3,10,19,"5,152",50,
,Cañar,Biblián,Biblián,Mujeres,"6,937",259,10,1,6,16,"6,576",68,1
,Cañar,Biblián,Nazón,Total Nazón,"2,232",50,,,3,3,"2,165",11,
,Cañar,Biblián,Nazón,Hombres,970,19,,,3,,944,4,
,Cañar,Biblián,Nazón,Mujeres,"1,262",31,,,,3,"1,221",7,
,Cañar,Biblián,San Francisco de Sageo,Total San Francisco de Sageo,"1,471",48,2,,2,3,"1,408",8,
,Cañar,Biblián,San Francisco de Sageo,Hombres,638,21,2,,1,,611,3,
,Cañar,Biblián,San Francisco de Sageo,Mujeres,833,27,,,1,3,797,5,
,Cañar,Biblián,Turupamba,Total Turupamba,"1,078",27,2,,5,,"1,007",37,
,Cañar,Biblián,Turupamba,Hombres,489,14,1,,3,,452,19,
,Cañar,Biblián,Turupamba,Mujeres,589,13,1,,2,,555,18,
,Cañar,Biblián,Jerusalén,Total Jerusalén,"1,692",110,,1,5,6,"1,556",14,
,Cañar,Biblián,Jerusalén,Hombres,747,58,,1,3,2,677,6,
,Cañar,Biblián,Jerusalén,Mujeres,945,52,,,2,4,879,8,
,Cañar,Cañar,Total Cañar,Total Cañar,"52,150","21,327",49,26,62,130,"30,240",312,4
,Cañar,Cañar,Total Cañar,Hombres,"23,809","9,570",30,19,36,63,"13,931",159,1
,Cañar,Cañar,Total Cañar,Mujeres,"28,341","11,757",19,7,26,67,"16,309",153,3
,Cañar,Cañar,Cañar,Total Cañar,"17,305","6,124",25,16,24,27,"10,962",127,
,Cañar,Cañar,Cañar,Hombres,"7,961","2,754",19,15,18,17,"5,068",70,
,Cañar,Cañar,Cañar,Mujeres,"9,344","3,370",6,1,6,10,"5,894",57,
,Cañar,Cañar,Chontamarca,Total Chontamarca,"3,191","1,999",2,,3,8,"1,177",2,
,Cañar,Cañar,Chontamarca,Hombres,"1,470",918,,,1,2,547,2,
,Cañar,Cañar,Chontamarca,Mujeres,"1,721","1,081",2,,2,6,630,,
,Cañar,Cañar,Chorocopte,Total Chorocopte,"2,726",692,1,2,1,10,"2,006",14,
,Cañar,Cañar,Chorocopte,Hombres,"1,233",296,1,,,8,921,7,
,Cañar,Cañar,Chorocopte,Mujeres,"1,493",396,,2,1,2,"1,085",7,
,Cañar,Cañar,General Morales,Total General Morales,"2,300","1,937",4,,,4,347,8,
,Cañar,Cañar,General Morales,Hombres,"1,068",896,3,,,2,162,5,
,Cañar,Cañar,General Morales,Mujeres,"1,232","1,041",1,,,2,185,3,
,Cañar,Cañar,Gualleturo,Total Gualleturo,"3,223","1,313",3,1,10,14,"1,821",61,
,Cañar,Cañar,Gualleturo,Hombres,"1,482",586,1,1,7,4,855,28,
,Cañar,Cañar,Gualleturo,Mujeres,"1,741",727,2,,3,10,966,33,
,Cañar,Cañar,Honorato Vásquez,Total Honorato Vásquez,"5,906","1,517",4,5,2,12,"4,346",16,4
,Cañar,Cañar,Honorato Vásquez,Hombres,"2,578",641,2,1,2,6,"1,919",6,1
,Cañar,Cañar,Honorato Vásquez,Mujeres,"3,328",876,2,4,,6,"2,427",10,3
,Cañar,Cañar,Ingapirca,Total Ingapirca,"6,964","3,238",3,,2,16,"3,683",22,
,Cañar,Cañar,Ingapirca,Hombres,"3,074","1,413",1,,2,4,"1,647",7,
,Cañar,Cañar,Ingapirca,Mujeres,"3,890","1,825",2,,,12,"2,036",15,
,Cañar,Cañar,Juncal,Total Juncal,"1,680","1,435",,1,,5,239,,
,Cañar,Cañar,Juncal,Hombres,756,635,,1,,5,115,,
,Cañar,Cañar,Juncal,Mujeres,924,800,,,,,124,,
,Cañar,Cañar,San Antonio,Total San Antonio,"2,127",10,,,6,19,"2,090",2,
,Cañar,Cañar,San Antonio,Hombres,"1,041",2,,,2,9,"1,028",,
,Cañar,Cañar,San Antonio,Mujeres,"1,086",8,,,4,10,"1,062",2,
,Cañar,Cañar,Zhud,Total Zhud,"1,683","1,342",2,,1,1,327,10,
,Cañar,Cañar,Zhud,Hombres,775,601,2,,,,165,7,
,Cañar,Cañar,Zhud,Mujeres,908,741,,,1,1,162,3,
,Cañar,Cañar,Ventura,Total Ventura,"1,357",484,,,6,7,829,31,
,Cañar,Cañar,Ventura,Hombres,670,235,,,2,3,413,17,
,Cañar,Cañar,Ventura,Mujeres,687,249,,,4,4,416,14,
,Cañar,Cañar,Ducur,Total Ducur,"3,688","1,236",5,1,7,7,"2,413",19,
,Cañar,Cañar,Ducur,Hombres,"1,701",593,1,1,2,3,"1,091",10,
,Cañar,Cañar,Ducur,Mujeres,"1,987",643,4,,5,4,"1,322",9,
,Cañar,La Troncal,Total La Troncal,Total La Troncal,"62,103",682,915,333,348,669,"58,054","1,092",10
,Cañar,La Troncal,Total La Troncal,Hombres,"29,791",326,438,163,165,369,"27,787",536,7
,Cañar,La Troncal,Total La Troncal,Mujeres,"32,312",356,477,170,183,300,"30,267",556,3
,Cañar,La Troncal,La Troncal,Total La Troncal,"46,505",605,729,255,279,459,"43,328",845,5
,Cañar,La Troncal,La Troncal,Hombres,"22,096",286,345,116,133,246,"20,544",422,4
,Cañar,La Troncal,La Troncal,Mujeres,"24,409",319,384,139,146,213,"22,784",423,1
,Cañar,La Troncal,Manuel J. Calle,Total Manuel J. Calle,"4,732",9,34,20,26,71,"4,501",71,
,Cañar,La Troncal,Manuel J. Calle,Hombres,"2,299",7,24,10,13,40,"2,174",31,
,Cañar,La Troncal,Manuel J. Calle,Mujeres,"2,433",2,10,10,13,31,"2,327",40,
,Cañar,La Troncal,Pancho Negro,Total Pancho Negro,"10,866",68,152,58,43,139,"10,225",176,5
,Cañar,La Troncal,Pancho Negro,Hombres,"5,396",33,69,37,19,83,"5,069",83,3
,Cañar,La Troncal,Pancho Negro,Mujeres,"5,470",35,83,21,24,56,"5,156",93,2
,Cañar,El Tambo,Total El Tambo,Total El Tambo,"9,285","4,987",4,,,18,"4,232",44,
,Cañar,El Tambo,Total El Tambo,Hombres,"4,250","2,241",,,,9,"1,977",23,
,Cañar,El Tambo,Total El Tambo,Mujeres,"5,035","2,746",4,,,9,"2,255",21,
,Cañar,El Tambo,El Tambo,Total El Tambo,"9,285","4,987",4,,,18,"4,232",44,
,Cañar,El Tambo,El Tambo,Hombres,"4,250","2,241",,,,9,"1,977",23,
,Cañar,El Tambo,El Tambo,Mujeres,"5,035","2,746",4,,,9,"2,255",21,
,Cañar,Déleg,Total Déleg,Total Déleg,"6,046",197,17,3,9,18,"5,695",107,
,Cañar,Déleg,Total Déleg,Hombres,"2,700",87,9,2,7,12,"2,536",47,
,Cañar,Déleg,Total Déleg,Mujeres,"3,346",110,8,1,2,6,"3,159",60,
,Cañar,Déleg,Déleg,Total Déleg,"4,273",173,9,3,3,7,"4,018",60,
,Cañar,Déleg,Déleg,Hombres,"1,852",76,4,2,3,3,"1,736",28,
,Cañar,Déleg,Déleg,Mujeres,"2,421",97,5,1,,4,"2,282",32,
,Cañar,Déleg,Solano,Total Solano,"1,773",24,8,,6,11,"1,677",47,
,Cañar,Déleg,Solano,Hombres,848,11,5,,4,9,800,19,
,Cañar,Déleg,Solano,Mujeres,925,13,3,,2,2,877,28,
,Cañar,Suscal,Total Suscal,Total Suscal,"4,627","3,963",6,,1,1,651,5,
,Cañar,Suscal,Total Suscal,Hombres,"2,038","1,721",5,,,1,311,,
,Cañar,Suscal,Total Suscal,Mujeres,"2,589","2,242",1,,1,,340,5,
,Cañar,Suscal,Suscal,Total Suscal,"4,627","3,963",6,,1,1,651,5,
,Cañar,Suscal,Suscal,Hombres,"2,038","1,721",5,,,1,311,,
,Cañar,Suscal,Suscal,Mujeres,"2,589","2,242",1,,1,,340,5,
,Carchi,Total Carchi,Total Carchi,Total Carchi,"172,828","7,334","6,632","1,061","1,209",488,"154,833","1,167",104
,Carchi,Total Carchi,Total Carchi,Hombres,"84,553","3,768","3,233",584,625,277,"75,444",570,52
,Carchi,Total Carchi,Total Carchi,Mujeres,"88,275","3,566","3,399",477,584,211,"79,389",597,52
,Carchi,Tulcán,Total Tulcán,Total Tulcán,"92,375","6,018",493,361,497,302,"83,904",709,91
,Carchi,Tulcán,Total Tulcán,Hombres,"44,900","3,086",275,233,267,182,"40,470",342,45
,Carchi,Tulcán,Total Tulcán,Mujeres,"47,475","2,932",218,128,230,120,"43,434",367,46
,Carchi,Tulcán,Tulcán,Total Tulcán,"64,218","1,149",372,233,376,237,"61,275",547,29
,Carchi,Tulcán,Tulcán,Hombres,"30,904",606,218,168,215,147,"29,271",258,21
,Carchi,Tulcán,Tulcán,Mujeres,"33,314",543,154,65,161,90,"32,004",289,8
,Carchi,Tulcán,El Carmelo,Total El Carmelo,"2,162",4,,,8,4,"2,120",26,
,Carchi,Tulcán,El Carmelo,Hombres,"1,027",2,,,2,2,"1,006",15,
,Carchi,Tulcán,El Carmelo,Mujeres,"1,135",2,,,6,2,"1,114",11,
,Carchi,Tulcán,Julio Andrade,Total Julio Andrade,"10,594",80,9,11,54,19,"10,314",78,29
,Carchi,Tulcán,Julio Andrade,Hombres,"5,205",45,6,8,20,7,"5,071",39,9
,Carchi,Tulcán,Julio Andrade,Mujeres,"5,389",35,3,3,34,12,"5,243",39,20
,Carchi,Tulcán,Maldonado,Total Maldonado,"2,069",192,,6,4,7,"1,836",9,15
,Carchi,Tulcán,Maldonado,Hombres,"1,087",104,,5,2,4,959,5,8
,Carchi,Tulcán,Maldonado,Mujeres,982,88,,1,2,3,877,4,7
,Carchi,Tulcán,Pioter,Total Pioter,670,8,,,3,4,652,3,
,Carchi,Tulcán,Pioter,Hombres,318,4,,,3,1,309,1,
,Carchi,Tulcán,Pioter,Mujeres,352,4,,,,3,343,2,
,Carchi,Tulcán,Tobar Donoso,Total Tobar Donoso,"1,393","1,086",92,111,30,2,72,,
,Carchi,Tulcán,Tobar Donoso,Hombres,716,572,45,52,12,1,34,,
,Carchi,Tulcán,Tobar Donoso,Mujeres,677,514,47,59,18,1,38,,
,Carchi,Tulcán,Tufiño,Total Tufiño,"2,692",470,11,,1,3,"2,175",14,18
,Carchi,Tulcán,Tufiño,Hombres,"1,329",236,1,,1,2,"1,075",7,7
,Carchi,Tulcán,Tufiño,Mujeres,"1,363",234,10,,,1,"1,100",7,11
,Carchi,Tulcán,Urbina,Total Urbina,"1,770",2,9,,5,2,"1,741",11,
,Carchi,Tulcán,Urbina,Hombres,894,2,5,,3,1,876,7,
,Carchi,Tulcán,Urbina,Mujeres,876,,4,,2,1,865,4,
,Carchi,Tulcán,El Chical,Total El Chical,"4,403","3,012",,,11,14,"1,363",3,
,Carchi,Tulcán,El Chical,Hombres,"2,234","1,506",,,6,9,713,,
,Carchi,Tulcán,El Chical,Mujeres,"2,169","1,506",,,5,5,650,3,
,Carchi,Tulcán,Santa Martha de Cuba,Total Santa Martha de Cuba,"2,404",15,,,5,10,"2,356",18,
,Carchi,Tulcán,Santa Martha de Cuba,Hombres,"1,186",9,,,3,8,"1,156",10,
,Carchi,Tulcán,Santa Martha de Cuba,Mujeres,"1,218",6,,,2,2,"1,200",8,
,Carchi,Bolívar,Total Bolívar,Total Bolívar,"15,677",142,"2,832",132,106,47,"12,334",83,1
,Carchi,Bolívar,Total Bolívar,Hombres,"7,823",78,"1,360",63,49,27,"6,205",40,1
,Carchi,Bolívar,Total Bolívar,Mujeres,"7,854",64,"1,472",69,57,20,"6,129",43,
,Carchi,Bolívar,Bolívar,Total Bolívar,"5,873",44,14,12,18,36,"5,705",43,1
,Carchi,Bolívar,Bolívar,Hombres,"2,964",24,5,6,13,21,"2,877",17,1
,Carchi,Bolívar,Bolívar,Mujeres,"2,909",20,9,6,5,15,"2,828",26,
,Carchi,Bolívar,García Moreno,Total García Moreno,"1,364",17,23,1,6,2,"1,310",5,
,Carchi,Bolívar,García Moreno,Hombres,679,9,12,,2,1,652,3,
,Carchi,Bolívar,García Moreno,Mujeres,685,8,11,1,4,1,658,2,
,Carchi,Bolívar,Los Andes,Total Los Andes,"2,536",3,618,32,28,5,"1,839",11,
,Carchi,Bolívar,Los Andes,Hombres,"1,248",2,300,17,11,2,908,8,
